species
Fam. Syrphidae
Anasimyia
Anasimyia contracta
Anasimyia interpuncta
Anasimyia lineata
Anasimyia lunulata
Anasimyia transfuga
Arctophila
Arctophila bombiformis
Arctophila superbiens
Baccha
Baccha elongata
Baccha obscuripennis
Blera
Blera fallax
Brachymyia
Brachymyia berberina
Brachymyia floccosa
Brachyopa
Brachyopa bicolor
Brachyopa bimaculosa
Brachyopa dorsata
Brachyopa grunewaldensis
Brachyopa insensilis
Brachyopa maculipennis
Brachyopa obscura
Brachyopa panzeri
Brachyopa pilosa
Brachyopa plena
Brachyopa scutellaris
Brachyopa silviae
Brachyopa testacea
Brachyopa vittata
Brachypalpoides
Brachypalpoides lentus
Brachypalpus
Brachypalpus chrysites
Brachypalpus laphriformis
Brachypalpus valgus
Caliprobola
Caliprobola speciosa
Callicera
Callicera aenea
Callicera aurata
Callicera fagesii
Callicera macquartii
Callicera rufa
Callicera spinolae
Ceriana
Ceriana conopsoides
Chalcosyrphus
Chalcosyrphus eunotus
Chalcosyrphus femoratus
Chalcosyrphus nemorum
Chalcosyrphus piger
Chalcosyrphus valgus
Chamaesyrphus
Chamaesyrphus caledonicus
Chamaesyrphus lusitanicus
Chamaesyrphus scaevoides
Cheilosia
Cheilosia vernalis
Cheilosia aerea
Cheilosia ahenea
Cheilosia alba
Cheilosia albipila
Cheilosia albitarsis
Cheilosia antiqua
Cheilosia barbata
Cheilosia bergenstammi
Cheilosia brachysoma
Cheilosia bracusi
Cheilosia caerulescens
Cheilosia canicularis
Cheilosia carbonaria
Cheilosia chlorus
Cheilosia chrysocoma
Cheilosia clama
Cheilosia crassiseta
Cheilosia cynocephala
Cheilosia derasa
Cheilosia fasciata
Cheilosia faucis
Cheilosia flavipes
Cheilosia fraterna
Cheilosia frontalis
Cheilosia gagatea
Cheilosia gigantea
Cheilosia griseifacies
Cheilosia grisella
Cheilosia grossa
Cheilosia hercyniae
Cheilosia himantopus
Cheilosia illustrata
Cheilosia impressa
Cheilosia impudens
Cheilosia insignis
Cheilosia laeviseta
Cheilosia laeviventris
Cheilosia lasiopa
Cheilosia laticornis
Cheilosia latifrons
Cheilosia lenis
Cheilosia loewi
Cheilosia longula
Cheilosia melanopa
Cheilosia melanura
Cheilosia montana
Cheilosia morio
Cheilosia mutabilis
Cheilosia nebulosa
Cheilosia nigripes
Cheilosia nivalis
Cheilosia orthotricha
Cheilosia pagana
Cheilosia pascuorum
Cheilosia pedemontana
Cheilosia personata
Cheilosia pictipennis
Cheilosia pilifer
Cheilosia pini
Cheilosia proxima
Cheilosia psilophthalma
Cheilosia pubera
Cheilosia ranunculi
Cheilosia rhynchops
Cheilosia ruficollis
Cheilosia rufimana
Cheilosia sahlbergi
Cheilosia scanica
Cheilosia scutellata
Cheilosia semifasciata
Cheilosia soror
Cheilosia subpictipennis
Cheilosia urbana
Cheilosia uviformis
Cheilosia variabilis
Cheilosia velutina
Cheilosia venosa
Cheilosia vicina
Cheilosia vulpina
Chrysogaster
Chrysogaster basalis
Chrysogaster cemiteriorum
Chrysogaster rondanii
Chrysogaster solstitialis
Chrysogaster virescens
Chrysotoxum
Chrysotoxum arcuatum
Chrysotoxum fasciatum
Chrysotoxum bicinctum
Chrysotoxum cautum
Chrysotoxum elegans
Chrysotoxum fasciolatum
Chrysotoxum festivum
Chrysotoxum arcuatum
Chrysotoxum intermedium
Chrysotoxum lineare
Chrysotoxum octomaculatum
Chrysotoxum vernale
Chrysotoxum verralli
Criorhina
Criorhina asilica
Criorhina pachymera
Criorhina ranunculi
Dasysyrphus
Dasysyrphus albostriatus
Dasysyrphus friuliensis
Dasysyrphus hilaris
Dasysyrphus lenensis
Dasysyrphus pauxillus
Dasysyrphus pinastri
Dasysyrphus postclaviger
Dasysyrphus tricinctus
Dasysyrphus venustus
Didea
Didea alneti
Didea fasciata
Didea intermedia
Doros
Doros profuges
Epistrophe
